path,random_path,p_1,p_1_angles,p_1_nfev,graph_num,C
graphs/main/all_4/graph_0/0.gml,graphs/main/all_4/graph_0/0.gml,0.3821488689107835,[ 0.78539816  3.92699082  3.92699082 -5.49778714  1.57079633 -4.71238898 -2.35619449],1,0,7.0
graphs/main/all_4/graph_1/1.gml,graphs/main/all_4/graph_1/1.gml,0.5000000019339614,[ 0.78539816  3.14159265  2.35619449  4.71238898  3.92699082  1.57079633 -2.35619449],1,1,7.0
graphs/main/all_4/graph_2/2.gml,graphs/main/all_4/graph_2/2.gml,0.6666666649999999,[-3.14159265 -3.14159265  1.57079633 -4.71238898  2.35619449  4.71238898  0.78539816 -0.78539816],1,2,7.0
graphs/main/all_4/graph_3/3.gml,graphs/main/all_4/graph_3/3.gml,0.4116116533699102,[-3.14159265 -0.78539816  3.92699082 -5.49778714 -2.35619449 -3.14159265 -3.14159265 -1.57079633],1,3,7.0
graphs/main/all_4/graph_4/4.gml,graphs/main/all_4/graph_4/4.gml,0.6249999993513241,[ 2.35619449  5.49778714  4.71238898  2.35619449 -2.35619449  0.         -1.57079633 -4.71238898  4.71238898],1,4,7.0
graphs/main/all_4/graph_5/5.gml,graphs/main/all_4/graph_5/5.gml,0.6249999994225669,[-6.28318531  3.92699082 -6.28318531  5.49778714 -3.92699082  5.49778714 -6.28318531 -4.71238898  4.71238898  3.92699082],1,5,7.0
