path,random_path,p_1,p_1_angles,p_1_nfev,graph_num,C
graphs/main/all_4/graph_0/0.gml,graphs/main/all_4/graph_0/0.gml,0.9999999999867129,[ 1.57079855  4.71238372  4.71238375 -5.49778557  2.35619122 -3.92699414 -3.1415922 ],120,0,7.0
graphs/main/all_4/graph_1/1.gml,graphs/main/all_4/graph_1/1.gml,0.8333333166278569,[ 1.56463525  2.69100819  1.58054507  4.70528518  3.93722048  2.34966364 -3.13039346],160,1,7.0
graphs/main/all_4/graph_2/2.gml,graphs/main/all_4/graph_2/2.gml,0.9999999999864824,[-3.14159272 -3.56690245  1.57079633 -4.71239742  2.35619451  5.4977885   0.78539813 -1.57079341],99,2,7.0
graphs/main/all_4/graph_3/3.gml,graphs/main/all_4/graph_3/3.gml,0.749999998800603,[-3.57950829 -0.29135971  4.27457135 -5.00367666 -1.58553967 -3.14366489 -2.36272315 -2.36085222],252,3,7.0
graphs/main/all_4/graph_4/4.gml,graphs/main/all_4/graph_4/4.gml,0.9999999999848884,[ 1.5707911   6.28318035  4.71238901  3.14159564 -1.5708078  -0.78539955 -0.78539748 -4.71238825  3.92699041],260,4,7.0
graphs/main/all_4/graph_5/5.gml,graphs/main/all_4/graph_5/5.gml,0.999999999933716,[-6.2831842   4.71238387 -6.28319017  5.28594145 -4.71237397  5.17273795 -5.49779985 -3.72964496  4.71239044  4.18931392],209,5,7.0
